"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"antigen-supporting-data","antigen-supporting-data.contraindications.vaccineGroup.contraindication.modifierExtension","antigen-supporting-data.contraindications.vaccineGroup.contraindication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationCode","antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationCode","","","",1,1,"","","","string {[]} {[]}
","Code identifying the contraindication.","Code identifying the contraindication.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationCode",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationTitle","antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationTitle","","","",1,1,"","","","string {[]} {[]}
","Title of the contraindication.","Title of the contraindication.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.contraindications.vaccineGroup.contraindication.observationTitle",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.contraindications.vaccineGroup.contraindication.contraindicationText","antigen-supporting-data.contraindications.vaccineGroup.contraindication.contraindicationText","","","",1,1,"","","","string {[]} {[]}
","Description of the contraindication.","Description of the contraindication.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.contraindications.vaccineGroup.contraindication.contraindicationText",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series","antigen-supporting-data.series","","","",0,*,"","","","BackboneElement {[]} {[]}
","Information about the vaccination series.","Information about the vaccination series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.id","antigen-supporting-data.series.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.extension","antigen-supporting-data.series.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.modifierExtension","antigen-supporting-data.series.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesName","antigen-supporting-data.series.seriesName","","","",1,1,"","","","string {[]} {[]}
","Name of the vaccination series.","Name of the vaccination series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesName",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.targetDisease","antigen-supporting-data.series.targetDisease","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Disease targeted by the series.","Disease targeted by the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.targetDisease",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.vaccineGroup","antigen-supporting-data.series.vaccineGroup","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine group for the series.","Vaccine group for the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.vaccineGroup",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesType","antigen-supporting-data.series.seriesType","","","",1,1,"","","","string {[]} {[]}
","Type of series (standard, risk-based, etc.).","Type of series (standard, risk-based, etc.).","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesType",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries","antigen-supporting-data.series.selectSeries","","","",0,1,"","","","BackboneElement {[]} {[]}
","Selection criteria for the series.","Selection criteria for the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.id","antigen-supporting-data.series.selectSeries.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.extension","antigen-supporting-data.series.selectSeries.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.modifierExtension","antigen-supporting-data.series.selectSeries.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.defaultSeries","antigen-supporting-data.series.selectSeries.defaultSeries","","","",1,1,"","","","boolean {[]} {[]}
","If this is the default series.","If this is the default series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.defaultSeries",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.productPath","antigen-supporting-data.series.selectSeries.productPath","","","",1,1,"","","","boolean {[]} {[]}
","If the series has a specific product path.","If the series has a specific product path.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.productPath",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.seriesGroupName","antigen-supporting-data.series.selectSeries.seriesGroupName","","","",1,1,"","","","string {[]} {[]}
","Name of the series group.","Name of the series group.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.seriesGroupName",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.seriesGroup","antigen-supporting-data.series.selectSeries.seriesGroup","","","",1,1,"","","","string {[]} {[]}
","Group number of the series.","Group number of the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.seriesGroup",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.seriesPriority","antigen-supporting-data.series.selectSeries.seriesPriority","","","",1,1,"","","","string {[]} {[]}
","Priority of the series.","Priority of the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.seriesPriority",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.seriesPreference","antigen-supporting-data.series.selectSeries.seriesPreference","","","",1,1,"","","","string {[]} {[]}
","Preference number within the group.","Preference number within the group.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.seriesPreference",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.selectSeries.maxAgeToStart","antigen-supporting-data.series.selectSeries.maxAgeToStart","","","",1,1,"","","","string {[]} {[]}
","Maximum age to start the series.","Maximum age to start the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.selectSeries.maxAgeToStart",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose","antigen-supporting-data.series.seriesDose","","","",0,*,"","","","BackboneElement {[]} {[]}
","Doses within the series.","Doses within the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.id","antigen-supporting-data.series.seriesDose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.extension","antigen-supporting-data.series.seriesDose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.modifierExtension","antigen-supporting-data.series.seriesDose.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.doseNumber","antigen-supporting-data.series.seriesDose.doseNumber","","","",1,1,"","","","string {[]} {[]}
","Number of the dose in the series.","Number of the dose in the series.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.doseNumber",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age","antigen-supporting-data.series.seriesDose.age","","","",0,*,"","","","BackboneElement {[]} {[]}
","Age recommendations for the dose.","Age recommendations for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.age",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.id","antigen-supporting-data.series.seriesDose.age.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.extension","antigen-supporting-data.series.seriesDose.age.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.modifierExtension","antigen-supporting-data.series.seriesDose.age.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.absMinAge","antigen-supporting-data.series.seriesDose.age.absMinAge","","","",1,1,"","","","string {[]} {[]}
","Absolute minimum age for the dose.","Absolute minimum age for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.age.absMinAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.minAge","antigen-supporting-data.series.seriesDose.age.minAge","","","",1,1,"","","","string {[]} {[]}
","Minimum recommended age for the dose.","Minimum recommended age for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.age.minAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.earliestRecAge","antigen-supporting-data.series.seriesDose.age.earliestRecAge","","","",1,1,"","","","string {[]} {[]}
","Earliest recommended age for the dose.","Earliest recommended age for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.age.earliestRecAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.age.latestRecAge","antigen-supporting-data.series.seriesDose.age.latestRecAge","","","",1,1,"","","","string {[]} {[]}
","Latest recommended age for the dose.","Latest recommended age for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.age.latestRecAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine","antigen-supporting-data.series.seriesDose.preferableVaccine","","","",0,*,"","","","BackboneElement {[]} {[]}
","Preferable vaccines for the dose.","Preferable vaccines for the dose.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.id","antigen-supporting-data.series.seriesDose.preferableVaccine.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.extension","antigen-supporting-data.series.seriesDose.preferableVaccine.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.modifierExtension","antigen-supporting-data.series.seriesDose.preferableVaccine.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.vaccineType","antigen-supporting-data.series.seriesDose.preferableVaccine.vaccineType","","","",1,1,"","","","string {[]} {[]}
","Type of the vaccine.","Type of the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.vaccineType",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.cvx","antigen-supporting-data.series.seriesDose.preferableVaccine.cvx","","","",1,1,"","","","string {[]} {[]}
","CVX code for the vaccine.","CVX code for the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.cvx",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.beginAge","antigen-supporting-data.series.seriesDose.preferableVaccine.beginAge","","","",1,1,"","","","string {[]} {[]}
","Beginning age for the vaccine.","Beginning age for the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.beginAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.endAge","antigen-supporting-data.series.seriesDose.preferableVaccine.endAge","","","",1,1,"","","","string {[]} {[]}
","Ending age for the vaccine.","Ending age for the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.endAge",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.volume","antigen-supporting-data.series.seriesDose.preferableVaccine.volume","","","",1,1,"","","","decimal {[]} {[]}
","Volume of the vaccine to be administered.","Volume of the vaccine to be administered.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.volume",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.forecastVaccineType","antigen-supporting-data.series.seriesDose.preferableVaccine.forecastVaccineType","","","",1,1,"","","","string {[]} {[]}
","Forecast type of the vaccine.","Forecast type of the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.forecastVaccineType",1,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.tradeName","antigen-supporting-data.series.seriesDose.preferableVaccine.tradeName","","","",0,1,"","","","string {[]} {[]}
","Trade name of the vaccine.","Trade name of the vaccine.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.tradeName",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.preferableVaccine.mvx","antigen-supporting-data.series.seriesDose.preferableVaccine.mvx","","","",0,1,"","","","string {[]} {[]}
","Manufacturer's vaccine code.","Manufacturer's vaccine code.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.preferableVaccine.mvx",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine","antigen-supporting-data.series.seriesDose.allowableVaccine","","","",0,*,"","","","BackboneElement {[]} {[]}
","Allowable vaccines if preferable vaccines are not available.","Allowable vaccines if preferable vaccines are not available.","","","","","","","","","",,,,,"",,,,"antigen-supporting-data.series.seriesDose.allowableVaccine",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.id","antigen-supporting-data.series.seriesDose.allowableVaccine.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.extension","antigen-supporting-data.series.seriesDose.allowableVaccine.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"antigen-supporting-data","antigen-supporting-data.series.seriesDose.allowableVaccine.modifierExtension","antigen-supporting-data.series.seriesDose.allowableVaccine.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
